,Data zmiany,Cena,Akcyza,Opłata paliwowa
130,2021-12-01,"4 672,00","1 145,00",33853
131,2021-11-30,"4 731,00","1 145,00",33853
132,2021-11-27,"4 813,00","1 145,00",33853
133,2021-11-26,"4 942,00","1 145,00",33853
134,2021-11-25,"4 927,00","1 145,00",33853
135,2021-11-24,"4 907,00","1 145,00",33853
136,2021-11-23,"4 886,00","1 145,00",33853
137,2021-11-20,"4 839,00","1 145,00",33853
138,2021-11-19,"4 890,00","1 145,00",33853
139,2021-11-18,"4 898,00","1 145,00",33853
140,2021-11-17,"4 921,00","1 145,00",33853
141,2021-11-16,"4 901,00","1 145,00",33853
142,2021-11-13,"4 970,00","1 145,00",33853
143,2021-11-11,"4 982,00","1 145,00",33853
144,2021-11-10,"4 964,00","1 145,00",33853
145,2021-11-09,"4 970,00","1 145,00",33853
146,2021-11-06,"4 961,00","1 145,00",33853
147,2021-11-05,"4 946,00","1 145,00",33853
148,2021-11-04,"4 958,00","1 145,00",33853
149,2021-11-03,"4 982,00","1 145,00",33853
150,2021-11-01,"4 981,00","1 145,00",33853
151,2021-10-30,"4 959,00","1 145,00",33853
152,2021-10-29,"4 991,00","1 145,00",33853
153,2021-10-28,"5 014,00","1 145,00",33853
154,2021-10-27,"5 047,00","1 145,00",33853
155,2021-10-26,"4 985,00","1 145,00",33853
156,2021-10-25,"4 967,00","1 145,00",33853
157,2021-10-23,"4 945,00","1 145,00",33853
158,2021-10-22,"4 947,00","1 145,00",33853
159,2021-10-21,"4 948,00","1 145,00",33853
160,2021-10-20,"4 934,00","1 145,00",33853
161,2021-10-19,"4 949,00","1 145,00",33853
162,2021-10-18,"4 932,00","1 145,00",33853
163,2021-10-16,"4 932,00","1 145,00",33853
164,2021-10-15,"4 918,00","1 145,00",33853
165,2021-10-14,"4 926,00","1 145,00",33853
166,2021-10-13,"4 928,00","1 145,00",33853
167,2021-10-12,"4 892,00","1 145,00",33853
168,2021-10-09,"4 862,00","1 145,00",33853
169,2021-10-08,"4 831,00","1 145,00",33853
170,2021-10-07,"4 833,00","1 145,00",33853
171,2021-10-06,"4 782,00","1 145,00",33853
172,2021-10-05,"4 730,00","1 145,00",33853
173,2021-10-04,"4 697,00","1 145,00",33853
174,2021-10-02,"4 737,00","1 145,00",33853
175,2021-10-01,"4 743,00","1 145,00",33853
176,2021-09-30,"4 678,00","1 145,00",33853
177,2021-09-29,"4 651,00","1 145,00",33853
178,2021-09-28,"4 600,00","1 145,00",33853
179,2021-09-25,"4 573,00","1 145,00",33853
180,2021-09-24,"4 516,00","1 145,00",33853
181,2021-09-23,"4 489,00","1 145,00",33853
182,2021-09-22,"4 469,00","1 145,00",33853
183,2021-09-21,"4 450,00","1 145,00",33853
184,2021-09-18,"4 423,00","1 145,00",33853
185,2021-09-17,"4 396,00","1 145,00",33853
186,2021-09-16,"4 368,00","1 145,00",33853
187,2021-09-15,"4 343,00","1 145,00",33853
188,2021-09-14,"4 328,00","1 145,00",33853
189,2021-09-11,"4 317,00","1 145,00",33853
190,2021-09-10,"4 312,00","1 145,00",33853
191,2021-09-09,"4 318,00","1 145,00",33853
192,2021-09-08,"4 310,00","1 145,00",33853
193,2021-09-07,"4 320,00","1 145,00",33853
194,2021-09-04,"4 323,00","1 145,00",33853
195,2021-09-03,"4 319,00","1 145,00",33853
196,2021-09-02,"4 296,00","1 145,00",33853
197,2021-09-01,"4 324,00","1 145,00",33853
198,2021-08-28,"4 308,00","1 145,00",33853
199,2021-08-27,"4 278,00","1 145,00",33853
200,2021-08-26,"4 264,00","1 145,00",33853
201,2021-08-25,"4 236,00","1 145,00",33853
202,2021-08-24,"4 210,00","1 145,00",33853
203,2021-08-21,"4 197,00","1 145,00",33853
204,2021-08-20,"4 215,00","1 145,00",33853
205,2021-08-19,"4 251,00","1 145,00",33853
206,2021-08-18,"4 254,00","1 145,00",33853
207,2021-08-17,"4 262,00","1 145,00",33853
208,2021-08-14,"4 259,00","1 145,00",33853
209,2021-08-13,"4 250,00","1 145,00",33853
210,2021-08-12,"4 243,00","1 145,00",33853
211,2021-08-11,"4 230,00","1 145,00",33853
212,2021-08-10,"4 222,00","1 145,00",33853
213,2021-08-07,"4 231,00","1 145,00",33853
214,2021-08-06,"4 243,00","1 145,00",33853
215,2021-08-05,"4 249,00","1 145,00",33853
216,2021-08-04,"4 283,00","1 145,00",33853
217,2021-08-03,"4 297,00","1 145,00",33853
218,2021-07-31,"4 311,00","1 145,00",33853
219,2021-07-30,"4 317,00","1 145,00",33853
220,2021-07-29,"4 308,00","1 145,00",33853
221,2021-07-28,"4 307,00","1 145,00",33853
222,2021-07-27,"4 291,00","1 145,00",33853
223,2021-07-24,"4 272,00","1 145,00",33853
224,2021-07-23,"4 224,00","1 145,00",33853
225,2021-07-22,"4 229,00","1 145,00",33853
226,2021-07-21,"4 219,00","1 145,00",33853
227,2021-07-20,"4 256,00","1 145,00",33853
228,2021-07-17,"4 313,00","1 145,00",33853
229,2021-07-16,"4 311,00","1 145,00",33853
230,2021-07-15,"4 323,00","1 145,00",33853
231,2021-07-14,"4 303,00","1 145,00",33853
232,2021-07-13,"4 283,00","1 145,00",33853
233,2021-07-10,"4 265,00","1 145,00",33853
234,2021-07-09,"4 262,00","1 145,00",33853
235,2021-07-08,"4 282,00","1 145,00",33853
236,2021-07-07,"4 297,00","1 145,00",33853
237,2021-07-06,"4 317,00","1 145,00",33853
238,2021-07-03,"4 299,00","1 145,00",33853
239,2021-07-02,"4 271,00","1 145,00",33853
240,2021-07-01,"4 254,00","1 145,00",33853
241,2021-06-30,"4 257,00","1 145,00",33853
242,2021-06-29,"4 258,00","1 145,00",33853
243,2021-06-26,"4 260,00","1 145,00",33853
244,2021-06-25,"4 263,00","1 145,00",33853
245,2021-06-24,"4 258,00","1 145,00",33853
246,2021-06-23,"4 250,00","1 145,00",33853
247,2021-06-22,"4 234,00","1 145,00",33853
248,2021-06-21,"4 226,00","1 145,00",33853
249,2021-06-19,"4 237,00","1 145,00",33853
250,2021-06-18,"4 214,00","1 145,00",33853
251,2021-06-17,"4 208,00","1 145,00",33853
252,2021-06-16,"4 189,00","1 145,00",33853
253,2021-06-15,"4 179,00","1 145,00",33853
254,2021-06-12,"4 164,00","1 145,00",33853
255,2021-06-11,"4 154,00","1 145,00",33853
256,2021-06-10,"4 150,00","1 145,00",33853
257,2021-06-09,"4 146,00","1 145,00",33853
258,2021-06-08,"4 144,00","1 145,00",33853
259,2021-06-06,"4 113,00","1 145,00",33853
260,2021-06-05,"4 146,00","1 145,00",33853
261,2021-06-03,"4 112,00","1 145,00",33853
262,2021-06-02,"4 095,00","1 145,00",33853
263,2021-05-29,"4 080,00","1 145,00",33853
264,2021-05-28,"4 071,00","1 145,00",33853
265,2021-05-27,"4 054,00","1 145,00",33853
266,2021-05-26,"4 048,00","1 145,00",33853
267,2021-05-25,"4 049,00","1 145,00",33853
268,2021-05-22,"4 029,00","1 145,00",33853
269,2021-05-21,"4 046,00","1 145,00",33853
270,2021-05-20,"4 054,00","1 145,00",33853
271,2021-05-19,"4 108,00","1 145,00",33853
272,2021-05-18,"4 106,00","1 145,00",33853
273,2021-05-15,"4 099,00","1 145,00",33853
274,2021-05-14,"4 095,00","1 145,00",33853
275,2021-05-13,"4 109,00","1 145,00",33853
276,2021-05-12,"4 096,00","1 145,00",33853
277,2021-05-11,"4 085,00","1 145,00",33853
278,2021-05-08,"4 090,00","1 145,00",33853
279,2021-05-07,"4 080,00","1 145,00",33853
280,2021-05-06,"4 071,00","1 145,00",33853
281,2021-05-05,"4 043,00","1 145,00",33853
282,2021-05-04,"4 012,00","1 145,00",33853
283,2021-05-01,"4 017,00","1 145,00",33853
284,2021-04-30,"3 999,00","1 145,00",33853
285,2021-04-29,"3 985,00","1 145,00",33853
286,2021-04-28,"3 975,00","1 145,00",33853
287,2021-04-27,"3 971,00","1 145,00",33853
288,2021-04-24,"3 977,00","1 145,00",33853
289,2021-04-23,"3 988,00","1 145,00",33853
290,2021-04-22,"3 986,00","1 145,00",33853
291,2021-04-21,"3 989,00","1 145,00",33853
292,2021-04-20,"4 004,00","1 145,00",33853
293,2021-04-17,"4 011,00","1 145,00",33853
294,2021-04-16,"3 997,00","1 145,00",33853
295,2021-04-15,"3 980,00","1 145,00",33853
296,2021-04-14,"3 974,00","1 145,00",33853
297,2021-04-13,"3 970,00","1 145,00",33853
298,2021-04-10,"3 965,00","1 145,00",33853
299,2021-04-09,"3 974,00","1 145,00",33853
300,2021-04-08,"3 986,00","1 145,00",33853
301,2021-04-07,"4 011,00","1 145,00",33853
302,2021-04-02,"4 019,00","1 145,00",33853
303,2021-04-01,"4 033,00","1 145,00",33853
304,2021-03-31,"4 005,00","1 145,00",33853
305,2021-03-30,"3 991,00","1 145,00",33853
306,2021-03-27,"3 973,00","1 145,00",33853
307,2021-03-26,"3 967,00","1 145,00",33853
308,2021-03-25,"3 977,00","1 145,00",33853
309,2021-03-24,"3 966,00","1 145,00",33853
310,2021-03-23,"3 984,00","1 145,00",33853
311,2021-03-20,"4 000,00","1 145,00",33853
312,2021-03-19,"4 020,00","1 145,00",33853
313,2021-03-18,"4 059,00","1 145,00",33853
314,2021-03-17,"4 075,00","1 145,00",33853
315,2021-03-16,"4 067,00","1 145,00",33853
316,2021-03-13,"4 074,00","1 145,00",33853
317,2021-03-12,"4 055,00","1 145,00",33853
318,2021-03-11,"4 069,00","1 145,00",33853
319,2021-03-10,"4 065,00","1 145,00",33853
320,2021-03-09,"4 064,00","1 145,00",33853
321,2021-03-06,"4 009,00","1 145,00",33853
322,2021-03-05,"3 960,00","1 145,00",33853
323,2021-03-04,"3 943,00","1 145,00",33853
324,2021-03-03,"3 959,00","1 145,00",33853
325,2021-03-02,"3 966,00","1 145,00",33853
326,2021-02-27,"3 963,00","1 145,00",33853
327,2021-02-26,"3 967,00","1 145,00",33853
328,2021-02-25,"3 952,00","1 145,00",33853
329,2021-02-24,"3 933,00","1 145,00",33853
330,2021-02-23,"3 925,00","1 145,00",33853
331,2021-02-20,"3 908,00","1 145,00",33853
332,2021-02-19,"3 906,00","1 145,00",33853
333,2021-02-18,"3 892,00","1 145,00",33853
334,2021-02-17,"3 876,00","1 145,00",33853
335,2021-02-16,"3 857,00","1 145,00",33853
336,2021-02-13,"3 849,00","1 145,00",33853
337,2021-02-12,"3 830,00","1 145,00",33853
338,2021-02-11,"3 844,00","1 145,00",33853
339,2021-02-10,"3 822,00","1 145,00",33853
340,2021-02-09,"3 807,00","1 145,00",33853
341,2021-02-06,"3 765,00","1 145,00",33853
342,2021-02-05,"3 752,00","1 145,00",33853
343,2021-02-04,"3 739,00","1 145,00",33853
344,2021-02-03,"3 721,00","1 145,00",33853
345,2021-02-02,"3 701,00","1 145,00",33853
346,2021-01-30,"3 694,00","1 145,00",33853
347,2021-01-29,"3 699,00","1 145,00",33853
348,2021-01-28,"3 693,00","1 145,00",33853
349,2021-01-27,"3 683,00","1 145,00",33853
350,2021-01-26,"3 678,00","1 145,00",33853
351,2021-01-25,"3 681,00","1 145,00",33853
352,2021-01-23,"3 691,00","1 145,00",33853
353,2021-01-22,"3 702,00","1 145,00",33853
354,2021-01-21,"3 706,00","1 145,00",33853
355,2021-01-20,"3 712,00","1 145,00",33853
356,2021-01-19,"3 726,00","1 145,00",33853
357,2021-01-16,"3 724,00","1 145,00",33853
358,2021-01-15,"3 724,00","1 145,00",33853
359,2021-01-14,"3 714,00","1 145,00",33853
360,2021-01-13,"3 702,00","1 145,00",33853
361,2021-01-12,"3 673,00","1 145,00",33853
362,2021-01-09,"3 654,00","1 145,00",33853
363,2021-01-08,"3 635,00","1 145,00",33853
364,2021-01-06,"3 617,00","1 145,00",33853
365,2021-01-05,"3 605,00","1 145,00",33853
366,2021-01-01,"3 609,00","1 145,00",33853
367,2020-12-31,"3 591,00","1 151,00",32334
368,2020-12-30,"3 586,00","1 151,00",32334
369,2020-12-25,"3 590,00","1 151,00",32334
370,2020-12-24,"3 595,00","1 151,00",32334
371,2020-12-23,"3 582,00","1 151,00",32334
372,2020-12-22,"3 593,00","1 151,00",32334
373,2020-12-19,"3 600,00","1 151,00",32334
374,2020-12-18,"3 574,00","1 151,00",32334
375,2020-12-17,"3 551,00","1 151,00",32334
376,2020-12-16,"3 552,00","1 151,00",32334
377,2020-12-15,"3 529,00","1 151,00",32334
378,2020-12-12,"3 526,00","1 151,00",32334
379,2020-12-11,"3 515,00","1 151,00",32334
380,2020-12-10,"3 498,00","1 151,00",32334
381,2020-12-09,"3 497,00","1 151,00",32334
382,2020-12-08,"3 497,00","1 151,00",32334
383,2020-12-05,"3 466,00","1 151,00",32334
384,2020-12-04,"3 460,00","1 151,00",32334
385,2020-12-03,"3 452,00","1 151,00",32334
386,2020-12-02,"3 456,00","1 151,00",32334
387,2020-12-01,"3 466,00","1 151,00",32334
388,2020-11-28,"3 468,00","1 151,00",32334
389,2020-11-27,"3 475,00","1 151,00",32334
390,2020-11-26,"3 466,00","1 151,00",32334
391,2020-11-25,"3 418,00","1 151,00",32334
392,2020-11-24,"3 386,00","1 151,00",32334
393,2020-11-21,"3 370,00","1 151,00",32334
394,2020-11-20,"3 361,00","1 151,00",32334
395,2020-11-19,"3 350,00","1 151,00",32334
396,2020-11-18,"3 339,00","1 151,00",32334
397,2020-11-17,"3 340,00","1 151,00",32334
398,2020-11-14,"3 339,00","1 151,00",32334
399,2020-11-13,"3 352,00","1 151,00",32334
400,2020-11-11,"3 296,00","1 151,00",32334
401,2020-11-10,"3 272,00","1 151,00",32334
402,2020-11-07,"3 265,00","1 151,00",32334
403,2020-11-06,"3 264,00","1 151,00",32334
404,2020-11-05,"3 263,00","1 151,00",32334
405,2020-11-04,"3 242,00","1 151,00",32334
406,2020-11-03,"3 240,00","1 151,00",32334
407,2020-10-31,"3 232,00","1 151,00",32334
408,2020-10-30,"3 253,00","1 151,00",32334
409,2020-10-29,"3 275,00","1 151,00",32334
410,2020-10-28,"3 283,00","1 151,00",32334
411,2020-10-27,"3 281,00","1 151,00",32334
412,2020-10-24,"3 289,00","1 151,00",32334
413,2020-10-23,"3 297,00","1 151,00",32334
414,2020-10-22,"3 280,00","1 151,00",32334
415,2020-10-21,"3 317,00","1 151,00",32334
416,2020-10-20,"3 319,00","1 151,00",32334
417,2020-10-17,"3 320,00","1 151,00",32334
418,2020-10-16,"3 302,00","1 151,00",32334
419,2020-10-15,"3 299,00","1 151,00",32334
420,2020-10-14,"3 288,00","1 151,00",32334
421,2020-10-13,"3 291,00","1 151,00",32334
422,2020-10-10,"3 294,00","1 151,00",32334
423,2020-10-09,"3 286,00","1 151,00",32334
424,2020-10-08,"3 265,00","1 151,00",32334
425,2020-10-07,"3 258,00","1 151,00",32334
426,2020-10-06,"3 247,00","1 151,00",32334
427,2020-10-03,"3 243,00","1 151,00",32334
428,2020-10-02,"3 270,00","1 151,00",32334
429,2020-10-01,"3 287,00","1 151,00",32334
430,2020-09-30,"3 282,00","1 151,00",32334
431,2020-09-29,"3 262,00","1 151,00",32334
432,2020-09-26,"3 246,00","1 151,00",32334
433,2020-09-25,"3 235,00","1 151,00",32334
434,2020-09-24,"3 234,00","1 151,00",32334
435,2020-09-23,"3 239,00","1 151,00",32334
436,2020-09-22,"3 237,00","1 151,00",32334
437,2020-09-19,"3 245,00","1 151,00",32334
438,2020-09-18,"3 219,00","1 151,00",32334
439,2020-09-17,"3 202,00","1 151,00",32334
440,2020-09-16,"3 193,00","1 151,00",32334
441,2020-09-15,"3 194,00","1 151,00",32334
442,2020-09-12,"3 204,00","1 151,00",32334
443,2020-09-11,"3 208,00","1 151,00",32334
444,2020-09-10,"3 217,00","1 151,00",32334
445,2020-09-09,"3 230,00","1 151,00",32334
446,2020-09-08,"3 253,00","1 151,00",32334
447,2020-09-05,"3 273,00","1 151,00",32334
448,2020-09-04,"3 292,00","1 151,00",32334
449,2020-09-03,"3 314,00","1 151,00",32334
450,2020-09-02,"3 319,00","1 151,00",32334
451,2020-08-31,"3 329,00","1 151,00",32334
452,2020-08-29,"3 339,00","1 151,00",32334
453,2020-08-28,"3 347,00","1 151,00",32334
454,2020-08-27,"3 347,00","1 151,00",32334
455,2020-08-26,"3 336,00","1 151,00",32334
456,2020-08-25,"3 334,00","1 151,00",32334
457,2020-08-22,"3 329,00","1 151,00",32334
458,2020-08-21,"3 348,00","1 151,00",32334
459,2020-08-20,"3 351,00","1 151,00",32334
460,2020-08-19,"3 359,00","1 151,00",32334
461,2020-08-18,"3 362,00","1 151,00",32334
462,2020-08-15,"3 368,00","1 151,00",32334
463,2020-08-14,"3 363,00","1 151,00",32334
464,2020-08-13,"3 362,00","1 151,00",32334
465,2020-08-12,"3 358,00","1 151,00",32334
466,2020-08-11,"3 353,00","1 151,00",32334
467,2020-08-08,"3 381,00","1 151,00",32334
468,2020-08-07,"3 387,00","1 151,00",32334
469,2020-08-06,"3 387,00","1 151,00",32334
470,2020-08-05,"3 368,00","1 151,00",32334
471,2020-08-04,"3 366,00","1 151,00",32334
472,2020-08-01,"3 361,00","1 151,00",32334
473,2020-07-31,"3 362,00","1 151,00",32334
474,2020-07-30,"3 388,00","1 151,00",32334
475,2020-07-29,"3 373,00","1 151,00",32334
476,2020-07-28,"3 386,00","1 151,00",32334
477,2020-07-25,"3 395,00","1 151,00",32334
478,2020-07-24,"3 414,00","1 151,00",32334
479,2020-07-23,"3 411,00","1 151,00",32334
480,2020-07-22,"3 412,00","1 151,00",32334
481,2020-07-21,"3 397,00","1 151,00",32334
482,2020-07-18,"3 399,00","1 151,00",32334
483,2020-07-17,"3 403,00","1 151,00",32334
484,2020-07-16,"3 404,00","1 151,00",32334
485,2020-07-15,"3 401,00","1 151,00",32334
486,2020-07-14,"3 408,00","1 151,00",32334
487,2020-07-11,"3 425,00","1 151,00",32334
488,2020-07-10,"3 426,00","1 151,00",32334
489,2020-07-09,"3 425,00","1 151,00",32334
490,2020-07-08,"3 426,00","1 151,00",32334
491,2020-07-07,"3 414,00","1 151,00",32334
492,2020-07-06,"3 402,00","1 151,00",32334
493,2020-07-04,"3 421,00","1 151,00",32334
494,2020-07-03,"3 409,00","1 151,00",32334
495,2020-07-02,"3 395,00","1 151,00",32334
496,2020-07-01,"3 373,00","1 151,00",32334
497,2020-06-30,"3 374,00","1 151,00",32334
498,2020-06-27,"3 357,00","1 151,00",32334
499,2020-06-26,"3 393,00","1 151,00",32334
500,2020-06-25,"3 413,00","1 151,00",32334
501,2020-06-24,"3 444,00","1 151,00",32334
502,2020-06-23,"3 423,00","1 151,00",32334
503,2020-06-20,"3 401,00","1 151,00",32334
504,2020-06-19,"3 383,00","1 151,00",32334
505,2020-06-18,"3 369,00","1 151,00",32334
506,2020-06-17,"3 347,00","1 151,00",32334
507,2020-06-16,"3 333,00","1 151,00",32334
508,2020-06-15,"3 330,00","1 151,00",32334
509,2020-06-13,"3 355,00","1 151,00",32334
510,2020-06-11,"3 367,00","1 151,00",32334
511,2020-06-10,"3 367,00","1 151,00",32334
512,2020-06-09,"3 337,00","1 151,00",32334
513,2020-06-06,"3 307,00","1 151,00",32334
514,2020-06-05,"3 281,00","1 151,00",32334
515,2020-06-04,"3 273,00","1 151,00",32334
516,2020-06-03,"3 260,00","1 151,00",32334
517,2020-06-02,"3 224,00","1 151,00",32334
518,2020-05-30,"3 217,00","1 151,00",32334
519,2020-05-29,"3 221,00","1 151,00",32334
520,2020-05-28,"3 250,00","1 151,00",32334
521,2020-05-27,"3 257,00","1 151,00",32334
522,2020-05-23,"3 259,00","1 151,00",32334
523,2020-05-22,"3 259,00","1 151,00",32334
524,2020-05-21,"3 253,00","1 151,00",32334
525,2020-05-20,"3 198,00","1 151,00",32334
526,2020-05-19,"3 178,00","1 151,00",32334
527,2020-05-16,"3 094,00","1 151,00",32334
528,2020-05-15,"3 067,00","1 151,00",32334
529,2020-05-14,"3 056,00","1 151,00",32334
530,2020-05-13,"3 054,00","1 151,00",32334
531,2020-05-12,"3 051,00","1 151,00",32334
532,2020-05-08,"3 034,00","1 151,00",32334
533,2020-05-07,"2 990,00","1 151,00",32334
534,2020-05-06,"2 972,00","1 151,00",32334
535,2020-05-05,"2 952,00","1 151,00",32334
536,2020-05-02,"2 952,00","1 151,00",32334
537,2020-05-01,"2 937,00","1 151,00",32334
538,2020-04-30,"2 897,00","1 151,00",32334
539,2020-04-29,"2 876,00","1 151,00",32334
540,2020-04-28,"2 904,00","1 151,00",32334
541,2020-04-25,"2 924,00","1 151,00",32334
542,2020-04-24,"2 954,00","1 151,00",32334
543,2020-04-23,"2 949,00","1 151,00",32334
544,2020-04-22,"3 023,00","1 151,00",32334
545,2020-04-21,"3 069,00","1 151,00",32334
546,2020-04-18,"3 092,00","1 151,00",32334
547,2020-04-17,"3 079,00","1 151,00",32334
548,2020-04-16,"3 085,00","1 151,00",32334
549,2020-04-15,"3 135,00","1 151,00",32334
550,2020-04-10,"3 176,00","1 151,00",32334
551,2020-04-09,"3 193,00","1 151,00",32334
552,2020-04-08,"3 202,00","1 151,00",32334
553,2020-04-07,"3 189,00","1 151,00",32334
554,2020-04-04,"3 164,00","1 151,00",32334
555,2020-04-03,"3 142,00","1 151,00",32334
556,2020-04-02,"3 152,00","1 151,00",32334
